DESCRIP,STOCK,FECHA,HORA,ANTES,CANTID,DESPUES,NUT,OBS,CODIGO,TIPO,NUMERO,NOM_PROV,VENDEDOR
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,10:18:19,0.0,-1.0,0.0,1102396,MM:  Af:,-899544,Venta NOSTK!,TK 925045,,50.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,10:20:30,0.0,-1.0,0.0,1102400,MM:  Af:,-899544,Venta NOSTK!,TK 925047,,41.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,10:53:28,0.0,-1.0,0.0,1102453,MM:  Af:,-899544,Venta NOSTK!,TK 925093,,41.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,11:08:47,0.0,-1.0,0.0,1102464,MM:  Af:,-899544,Venta NOSTK!,TK 925101,,50.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,11:43:35,0.0,-1.0,0.0,1102504,MM:  Af:,-899544,Venta NOSTK!,TK 925138,,17.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,12:08:51,0.0,-1.0,0.0,1102532,MM:  Af:,-899544,Venta NOSTK!,TK 925164,,13.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,12:48:15,0.0,-1.0,0.0,1102570,MM:  Af:,-899544,Venta NOSTK!,TK 925202,,17.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,13:48:55,0.0,-1.0,0.0,1102603,MM:  Af:,-899544,Venta NOSTK!,TK 925229,,41.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,14:23:29,0.0,-1.0,0.0,1102618,MM:  Af:,-899544,Venta NOSTK!,TK 925244,,13.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,14:33:57,0.0,-1.0,0.0,1102620,MM:  Af:,-899544,Venta NOSTK!,TK 925246,,27.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,14:34:12,0.0,-1.0,0.0,1102621,MM:  Af:,-899544,Venta NOSTK!,TK 925247,,22.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,14:55:21,0.0,-1.0,0.0,1102629,MM:  Af:,-899544,Venta NOSTK!,TK 925255,,22.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,16:35:48,0.0,-1.0,0.0,1102679,MM:  Af:,-899544,Venta NOSTK!,TK 925301,,111.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,17:06:06,0.0,-1.0,0.0,1102693,MM:  Af:,-899544,Venta NOSTK!,TK 925313,,64.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,17:17:21,0.0,-1.0,0.0,1102694,MM:  Af:,-899544,Venta NOSTK!,TK 925314,,111.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,17:33:21,0.0,-1.0,0.0,1102703,MM:  Af:,-899544,Venta NOSTK!,TK 925323,,27.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,18:53:53,0.0,-1.0,0.0,1102749,MM:  Af:,-899544,Venta NOSTK!,TK 925363,,64.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,19:00:55,0.0,-1.0,0.0,1102751,MM:  Af:,-899544,Venta NOSTK!,TK 925365,,64.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,19:03:37,0.0,-1.0,0.0,1102752,MM:  Af:,-899544,Venta NOSTK!,TK 925366,,111.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,19:07:48,0.0,-1.0,0.0,1102754,MM:  Af:,-899544,Venta NOSTK!,TK 925368,,111.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,19:39:56,0.0,-1.0,0.0,1102778,MM:  Af:,-899544,Venta NOSTK!,TK 925391,,111.0
-CONTROL ENTREGA DISPENSA TT,,,,,,,99999999,,-899544,Fin,,,
-ENVASE ESTERIL  CHICO,120.0,2026-03-07,08:15:36,129.0,-1.0,128.0,1102311,MM:  Af:,-800325,Venta,TK 924966,,50.0
-ENVASE ESTERIL  CHICO,120.0,2026-03-07,09:23:43,128.0,-1.0,127.0,1102349,MM:  Af:,-800325,Venta,TK 925002,,119.0
-ENVASE ESTERIL  CHICO,120.0,2026-03-07,10:44:55,127.0,-4.0,123.0,1102441,MM:  Af:,-800325,Venta,TK 925082,,119.0
-ENVASE ESTERIL  CHICO,120.0,2026-03-07,10:51:50,123.0,-3.0,120.0,1102452,MM:  Af:,-800325,Venta,TK 925092,,119.0
-ENVASE ESTERIL  CHICO,120.0,2026-03-07,10:54:18,120.0,4.0,124.0,1102454,MM:  Af:,-800325,Anulaci¢n,N1  43603,,37.0
-ENVASE ESTERIL  CHICO,,,,,,,99999999,,-800325,Fin,,,
-TELA MICROP 2.50 CM S/R,24.0,2026-03-07,17:02:34,26.0,-1.0,25.0,1102691,MM:  Af:,-300034,Venta,TK 925311,,111.0
-TELA MICROP 2.50 CM S/R,,,,,,,99999999,,-300034,Fin,,,
FARMACIA M X2,22.0,2026-03-07,21:08:31,24.0,-1.0,23.0,1102811,MM:  Af:,-800250,Venta,TK 925423,,64.0
FARMACIA M X2,22.0,2026-03-07,21:23:34,23.0,-1.0,22.0,1102814,MM:  Af:,-800250,Venta,TK 925426,,111.0
FARMACIA M X2,,,,,,,99999999,,-800250,Fin,,,
LATTAFA KHAMRAH EDP X100ML,0.0,2026-03-07,14:30:30,1.0,-1.0,0.0,1102619,MM:  Af: 023960470001,-307061,Venta,TK 925245,,105.0
LATTAFA KHAMRAH EDP X100ML,,,,,,,99999999,,-307061,Fin,,,
MIRUS sol.oftx15 ml,1.0,2026-03-07,18:28:28,1.0,-1.0,0.0,1102737,MM: MN100154 Af: 2306115-01,2488081,Venta,TK 925352,,64.0
MIRUS sol.oftx15 ml,,,,,,,99999999,,2488081,Fin,,,
SYSTANE Drop Tainer fcox15 ml,2.0,2026-03-07,19:26:28,2.0,-1.0,1.0,1102769,MM: MP335777 Af: 220429474200,5286662,Venta,TK 925382,,64.0
SYSTANE Drop Tainer fcox15 ml,,,,,,,99999999,,5286662,Fin,,,
SYSTANE ULTRA sol.oft.estéril,3.0,2026-03-07,11:15:48,2.0,1.0,3.0,1102473,Fp: 07/03/26 Ff: 07/03/26,5557712,COMPRA,0014-24723889,ASOPROFARMA,118.0
SYSTANE ULTRA sol.oft.estéril,,,,,,,99999999,,5557712,Fin,,,
DERMAGLOS C ULTRA CR GEL HIALU,0.0,2026-03-07,12:27:16,1.0,-1.0,0.0,1102549,MM:  Af:,9961025,Venta,TK 925181,,119.0
DERMAGLOS C ULTRA CR GEL HIALU,,,,,,,99999999,,9961025,Fin,,,
DERMAGLOS F ROJECES EM X50,2.0,2026-03-07,16:26:00,2.0,-1.0,1.0,1102672,MM:  Af:,9952216,Venta,TK 925297,,64.0
DERMAGLOS F ROJECES EM X50,2.0,2026-03-07,16:27:02,1.0,1.0,2.0,1102673,MM:  Af:,9952216,Anulaci¢n,N1  43609,,64.0
DERMAGLOS F ROJECES EM X50,,,,,,,99999999,,9952216,Fin,,,
DERMAGLOS SOL 50 EMULSION X250,13.0,2026-03-07,10:48:32,14.0,-1.0,13.0,1102448,MM:  Af:,9948244,Venta,TK 925088,,50.0
DERMAGLOS SOL 50 EMULSION X250,,,,,,,99999999,,9948244,Fin,,,
DERMAGLOS SOL 50 EMULSION X380,17.0,2026-03-07,10:48:32,18.0,-1.0,17.0,1102448,MM:  Af:,9961203,Venta,TK 925088,,50.0
DERMAGLOS SOL 50 EMULSION X380,,,,,,,99999999,,9961203,Fin,,,
NAPRUX DISTEN compx30,0.0,2026-03-07,10:54:34,-1.0,1.0,0.0,1102455,Fp: 06/03/26 Ff: 06/03/26,5484002,COMPRA,0006-08266848,DROGUERIA DISVAL SRL,118.0
NAPRUX DISTEN compx30,,,,,,,99999999,,5484002,Fin,,,
BACLOX 10 mg compx60,1.0,2026-03-07,10:35:45,2.0,-1.0,1.0,1102425,MM: MP144862 Af: 150684253101/,6478261,Venta,TK 925068,,121.0
BACLOX 10 mg compx60,,,,,,,99999999,,6478261,Fin,,,
BROMOTIL 40 mg compx20,0.0,2026-03-07,10:14:37,0.0,-1.0,-1.0,1102392,MM:  Af:,5933421,Venta Con Vale!,TK 925042,,17.0
BROMOTIL 40 mg compx20,0.0,2026-03-07,17:43:37,-1.0,1.0,0.0,1102710,Fp: 07/03/26 Ff: 07/03/26,5933421,COMPRA,0004-13831018,CO.FA.LO.ZA. LTDA,64.0
BROMOTIL 40 mg compx20,,,,,,,99999999,,5933421,Fin,,,
CALCIONAL CITRATO 500 mg Nja.C,0.0,2026-03-07,09:54:47,1.0,-1.0,0.0,1102379,MM: MP335617 Af: 140087997000/,5272503,Venta,TK 925030,,119.0
CALCIONAL CITRATO 500 mg Nja.C,0.0,2026-03-07,09:53:20,0.0,1.0,1.0,1102377,Fp: 07/03/26 Ff: 07/03/26,5272503,ALTA STOCK AJUSTE,0000-00021536,*GENERAL*,118.0
CALCIONAL CITRATO 500 mg Nja.C,,,,,,,99999999,,5272503,Fin,,,
DEXATOTAL 4 mg Cmp.ranx10,1.0,2026-03-07,10:35:45,1.0,-1.0,0.0,1102425,MM: MP144862 Af: 150684253101/,5156431,Venta,TK 925068,,121.0
DEXATOTAL 4 mg Cmp.ranx10,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5156431,COMPRA,0014-24729154,ASOPROFARMA,64.0
DEXATOTAL 4 mg Cmp.ranx10,,,,,,,99999999,,5156431,Fin,,,
EX3 10 mg compx30,1.0,2026-03-07,16:56:18,1.0,-1.0,0.0,1102690,MM: P334948 Af:,5846132,Venta,TK 925310,,111.0
EX3 10 mg compx30,,,,,,,99999999,,5846132,Fin,,,
ACLOSAN 0.4 mg capsx30,1.0,2026-03-07,10:35:06,0.0,1.0,1.0,1102423,Fp: 07/03/26 Ff: 07/03/26,4655431,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
ACLOSAN 0.4 mg capsx30,,,,,,,99999999,,4655431,Fin,,,
SUCRALMAX suspx200 ml,2.0,2026-03-07,11:15:48,1.0,1.0,2.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4111901,COMPRA,0014-24723889,ASOPROFARMA,118.0
SUCRALMAX suspx200 ml,,,,,,,99999999,,4111901,Fin,,,
URZAC FORTE 500 mg compx30,2.0,2026-03-07,16:38:16,2.0,-2.0,0.0,1102682,MM: MN83014 Af: 80000600354110,5677002,Venta,TK 925304,,111.0
URZAC FORTE 500 mg compx30,,,,,,,99999999,,5677002,Fin,,,
AZECAR 4 mg compx30,1.0,2026-03-07,12:44:47,1.0,-1.0,0.0,1102567,MM:  Af:,5417684,Venta,TK 925199,,50.0
AZECAR 4 mg compx30,,,,,,,99999999,,5417684,Fin,,,
BAGOHEPAT gotas x45 ml,2.0,2026-03-07,11:15:21,1.0,-1.0,0.0,1102472,MM:  Af:,9957961,Venta,TK 925109,,50.0
BAGOHEPAT gotas x45 ml,,,,,,,99999999,,9957961,Fin,,,
DIUREX 12.5 mg compx30,4.0,2026-03-07,18:06:44,3.0,1.0,4.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5624262,COMPRA,0014-24729154,ASOPROFARMA,64.0
DIUREX 12.5 mg compx30,,,,,,,99999999,,5624262,Fin,,,
DIUREX 25 mg compx30,5.0,2026-03-07,10:10:08,5.0,-1.0,4.0,1102388,MM: MP335617 Af: 140044431409/,4854761,Venta,TK 925038,,236.0
DIUREX 25 mg compx30,5.0,2026-03-07,18:06:44,4.0,2.0,6.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4854761,COMPRA,0014-24729154,ASOPROFARMA,64.0
DIUREX 25 mg compx30,,,,,,,99999999,,4854761,Fin,,,
ESOPRAZOL 20 mg compx14,1.0,2026-03-07,10:58:29,1.0,-1.0,0.0,1102458,MM:  Af:,5013592,Venta,TK 925095,,121.0
ESOPRAZOL 20 mg compx14,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5013592,COMPRA,0014-24729154,ASOPROFARMA,64.0
ESOPRAZOL 20 mg compx14,,,,,,,99999999,,5013592,Fin,,,
ESOPRAZOL 40 mg compx28,3.0,2026-03-07,10:35:36,1.0,-1.0,0.0,1102424,MM:  Af:,5013644,Venta,TK 925067,,17.0
ESOPRAZOL 40 mg compx28,3.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5013644,COMPRA,0014-24729154,ASOPROFARMA,64.0
ESOPRAZOL 40 mg compx28,,,,,,,99999999,,5013644,Fin,,,
FLOGOCOX 90 mg Cmp.recx14,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,6436841,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
FLOGOCOX 90 mg Cmp.recx14,,,,,,,99999999,,6436841,Fin,,,
FLOGOCOX 90 mg Cmp.recx28,1.0,2026-03-07,10:20:43,1.0,1.0,2.0,1102401,Fp: 07/03/26 Ff: 06/03/26,6436842,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
FLOGOCOX 90 mg Cmp.recx28,,,,,,,99999999,,6436842,Fin,,,
GLIOTEN 10 mg compx30,3.0,2026-03-07,12:03:33,3.0,-1.0,2.0,1102528,MM:  Af:,3028781,Venta,TK 925162,,17.0
GLIOTEN 10 mg compx30,,,,,,,99999999,,3028781,Fin,,,
GLIOTEN 10 mg compx60,3.0,2026-03-07,10:20:43,2.0,1.0,3.0,1102401,Fp: 07/03/26 Ff: 06/03/26,3028782,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
GLIOTEN 10 mg compx60,,,,,,,99999999,,3028782,Fin,,,
GLIOTEN 20 mg compx60,1.0,2026-03-07,12:50:21,1.0,-1.0,0.0,1102573,MM: MP36410 Af: 150747218904/0,3028862,Venta,TK 925205,,121.0
GLIOTEN 20 mg compx60,,,,,,,99999999,,3028862,Fin,,,
GLUCEMIX MET 50/1000 mg Cmp.re,2.0,2026-03-07,10:21:26,2.0,-1.0,1.0,1102402,MM: MP331548 Af: 140127113309/,6163261,Venta,TK 925048,,119.0
GLUCEMIX MET 50/1000 mg Cmp.re,2.0,2026-03-07,18:06:44,1.0,1.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,6163261,COMPRA,0014-24729154,ASOPROFARMA,64.0
GLUCEMIX MET 50/1000 mg Cmp.re,,,,,,,99999999,,6163261,Fin,,,
NOCTE SUBL 10 mg cmp.x30,1.0,2026-03-07,11:23:24,0.0,1.0,1.0,1102484,Fp: 07/03/26 Ff: 07/03/26,6025421,COMPRA,0014-24723889,ASOPROFARMA,118.0
NOCTE SUBL 10 mg cmp.x30,,,,,,,99999999,,6025421,Fin,,,
OCTANYL 3 mg compx50,1.0,2026-03-07,08:33:24,2.0,-1.0,1.0,1102318,MM: MP442617 Af: 150450988101/,2819652,Venta,TK 924973,,50.0
OCTANYL 3 mg compx50,,,,,,,99999999,,2819652,Fin,,,
PANTOMICINA E.S.500 mg compx16,1.0,2026-03-07,17:53:24,1.0,-1.0,0.0,1102714,MM: P31119 Af: 62720041801,2724273,Venta,TK 925330,,27.0
PANTOMICINA E.S.500 mg compx16,,,,,,,99999999,,2724273,Fin,,,
PEN DI BEN 2400000 UI iny.f.ax,2.0,2026-03-07,18:11:43,2.0,-1.0,1.0,1102726,MM: MN121095 Af: 150427352501/, 105881,Venta,TK 925341,,22.0
PEN DI BEN 2400000 UI iny.f.ax,,,,,,,99999999,, 105881,Fin,,,
ROSUVAST 40 mg compx30,1.0,2026-03-07,11:17:07,1.0,-1.0,0.0,1102475,MM: MP334429 Af: 140006637909/,5208473,Venta,TK 925111,,41.0
ROSUVAST 40 mg compx30,,,,,,,99999999,,5208473,Fin,,,
SEROQUEL XR 50 mg compx30,0.0,2026-03-07,11:34:18,1.0,-2.0,-1.0,1102494,MM: MP3206 Af: 115072086700/00,5738133,Venta Con Vale!,TK 925128,,50.0
SEROQUEL XR 50 mg compx30,,,,,,,99999999,,5738133,Fin,,,
TRANQUINAL 0.5 mg Cmp.sublx30,2.0,2026-03-07,11:12:07,2.0,-2.0,0.0,1102467,MM: MP334429 Af: 140006637909/,4817392,Venta,TK 925104,,41.0
TRANQUINAL 0.5 mg Cmp.sublx30,,,,,,,99999999,,4817392,Fin,,,
ULCOZOL RAPID 20 20 mg capsx28,2.0,2026-03-07,11:37:44,1.0,-1.0,0.0,1102497,MM: MP446841 Af: 1401347526070,5781392,Venta,TK 925131,,121.0
ULCOZOL RAPID 20 20 mg capsx28,,,,,,,99999999,,5781392,Fin,,,
BALIARTRIN POTASICO sobres x30,1.0,2026-03-07,10:42:06,0.0,1.0,1.0,1102431,Fp: 07/03/26 Ff: 07/03/26,5643683,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
BALIARTRIN POTASICO sobres x30,,,,,,,99999999,,5643683,Fin,,,
BIATRIX 200 200 mg Cmp.rec.ran,1.0,2026-03-07,20:23:17,2.0,-1.0,1.0,1102792,MM: MP333552 Af: 140925020709/,5567556,Venta,TK 925404,,239.0
BIATRIX 200 200 mg Cmp.rec.ran,,,,,,,99999999,,5567556,Fin,,,
BIDECAR 25 mg Cmp.ranx28,1.0,2026-03-07,18:44:56,1.0,-2.0,-1.0,1102744,MM: N124773 Af: 18136174,4765903,Venta Con Vale!,TK 925358,,239.0
BIDECAR 25 mg Cmp.ranx28,,,,,,,99999999,,4765903,Fin,,,
CLEVOSAN pdax30 g,1.0,2026-03-07,10:35:06,0.0,1.0,1.0,1102423,Fp: 07/03/26 Ff: 07/03/26,3263073,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
CLEVOSAN pdax30 g,,,,,,,99999999,,3263073,Fin,,,
CLONAGIN 1 1 mg compx60,5.0,2026-03-07,11:20:53,6.0,-1.0,5.0,1102483,MM: MP337267 Af: 140036431605/,4656842,Venta,TK 925119,,119.0
CLONAGIN 1 1 mg compx60,,,,,,,99999999,,4656842,Fin,,,
CLONAGIN gtsx20 ml,2.0,2026-03-07,14:58:22,2.0,-1.0,1.0,1102632,MM: MP36191 Af: 222448322300,4423012,Venta,TK 925258,,27.0
CLONAGIN gtsx20 ml,,,,,,,99999999,,4423012,Fin,,,
CONTINEX 7.5mg Cmp.lib.prolx30,3.0,2026-03-07,13:39:39,3.0,-1.0,2.0,1102595,MM: MP332214 Af: 465005805703/,5872553,Venta,TK 925222,,121.0
CONTINEX 7.5mg Cmp.lib.prolx30,,,,,,,99999999,,5872553,Fin,,,
DISARVAL 320/5 mg Cmp.recx30,1.0,2026-03-07,10:35:06,-2.0,1.0,-1.0,1102423,Fp: 07/03/26 Ff: 07/03/26,5815133,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
DISARVAL 320/5 mg Cmp.recx30,1.0,2026-03-07,10:54:34,-1.0,2.0,1.0,1102455,Fp: 06/03/26 Ff: 06/03/26,5815133,COMPRA,0006-08266848,DROGUERIA DISVAL SRL,118.0
DISARVAL 320/5 mg Cmp.recx30,,,,,,,99999999,,5815133,Fin,,,
DISARVAL D 160/12.5/5 mg compx,1.0,2026-03-07,11:47:31,1.0,-1.0,0.0,1102505,MM: MP36235 Af: 14001540090700,6312553,Venta,TK 925139,,50.0
DISARVAL D 160/12.5/5 mg compx,1.0,2026-03-07,10:42:06,0.0,1.0,1.0,1102431,Fp: 07/03/26 Ff: 07/03/26,6312553,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
DISARVAL D 160/12.5/5 mg compx,,,,,,,99999999,,6312553,Fin,,,
DORMILAN 10 mg Cmp.ranx30,1.0,2026-03-07,15:30:06,1.0,-1.0,0.0,1102647,MM: MP37229 Af: 128775706700,5011293,Venta,TK 925273,,27.0
DORMILAN 10 mg Cmp.ranx30,,,,,,,99999999,,5011293,Fin,,,
DROSIX 50 mg Cmp.lib.prolx30,0.0,2026-03-07,10:42:06,0.0,1.0,1.0,1102431,Fp: 07/03/26 Ff: 07/03/26,6239843,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
DROSIX 50 mg Cmp.lib.prolx30,,,,,,,99999999,,6239843,Fin,,,
EUDON Cmp.recx60,2.0,2026-03-07,16:20:26,2.0,-1.0,1.0,1102669,MM: MN144068 Af: 513732,3232706,Venta,TK 925294,,239.0
EUDON Cmp.recx60,,,,,,,99999999,,3232706,Fin,,,
HISTADICASONE Cmp.recx10,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,5926261,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
HISTADICASONE Cmp.recx10,,,,,,,99999999,,5926261,Fin,,,
ILDUC 10 mg Cmp.ranx30,4.0,2026-03-07,10:20:43,3.0,1.0,4.0,1102401,Fp: 07/03/26 Ff: 06/03/26,4843453,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
ILDUC 10 mg Cmp.ranx30,,,,,,,99999999,,4843453,Fin,,,
ILDUC 5 mg Cmp.ranx30,2.0,2026-03-07,11:37:18,5.0,-1.0,4.0,1102496,MM: MP333658 Af: 150883933002/,4843373,Venta,TK 925130,,236.0
ILDUC 5 mg Cmp.ranx30,,,,,,,99999999,,4843373,Fin,,,
INSERTEC 100 mg Cmp.ranx30,2.0,2026-03-07,10:20:43,1.0,1.0,2.0,1102401,Fp: 07/03/26 Ff: 06/03/26,4888003,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
INSERTEC 100 mg Cmp.ranx30,,,,,,,99999999,,4888003,Fin,,,
INSERTEC 50 50 mg Cmp.ranx30,4.0,2026-03-07,10:21:47,4.0,-1.0,3.0,1102403,MM: N174300 Af:,4887933,Venta,TK 925049,,17.0
INSERTEC 50 50 mg Cmp.ranx30,4.0,2026-03-07,10:22:35,3.0,1.0,4.0,1102405,MM:  Af:,4887933,Anulaci¢n,N1  43600,,17.0
INSERTEC 50 50 mg Cmp.ranx30,4.0,2026-03-07,10:23:28,4.0,-1.0,3.0,1102408,MM: N174300 Af: 7143394,4887933,Venta,TK 925053,,17.0
INSERTEC 50 50 mg Cmp.ranx30,4.0,2026-03-07,18:06:44,3.0,1.0,4.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4887933,COMPRA,0014-24729154,ASOPROFARMA,64.0
INSERTEC 50 50 mg Cmp.ranx30,,,,,,,99999999,,4887933,Fin,,,
NULIPAR 1 mg Cmp.ranx60,1.0,2026-03-07,11:23:24,0.0,1.0,1.0,1102484,Fp: 07/03/26 Ff: 07/03/26,5645716,COMPRA,0014-24723889,ASOPROFARMA,118.0
NULIPAR 1 mg Cmp.ranx60,,,,,,,99999999,,5645716,Fin,,,
OPTISER 10 10 mg Cmp.rec.ranx3,1.0,2026-03-07,14:58:22,1.0,-1.0,0.0,1102632,MM: MP36191 Af: 222448322300,5646003,Venta,TK 925258,,27.0
OPTISER 10 10 mg Cmp.rec.ranx3,,,,,,,99999999,,5646003,Fin,,,
PANTUS 40 40mg Cmp.rec.gastrox,3.0,2026-03-07,09:42:30,3.0,-1.0,2.0,1102364,MM:  Af:,9962704,Venta,TK 925016,,50.0
PANTUS 40 40mg Cmp.rec.gastrox,3.0,2026-03-07,10:47:46,2.0,-1.0,1.0,1102447,MM:  Af:,9962704,Venta,TK 925087,,41.0
PANTUS 40 40mg Cmp.rec.gastrox,3.0,2026-03-07,18:06:44,1.0,2.0,3.0,1102724,Fp: 07/03/26 Ff: 07/03/26,9962704,COMPRA,0014-24729154,ASOPROFARMA,64.0
PANTUS 40 40mg Cmp.rec.gastrox,,,,,,,99999999,,9962704,Fin,,,
PROSTOKLAR 0.4 mg Cmp.lib.prol,4.0,2026-03-07,15:22:43,5.0,-1.0,4.0,1102644,MM:  Af:,5653973,Venta,TK 925270,,22.0
PROSTOKLAR 0.4 mg Cmp.lib.prol,,,,,,,99999999,,5653973,Fin,,,
RIATUL 1 1 mg Cmp.rec.ranx20,1.0,2026-03-07,21:00:44,1.0,-1.0,0.0,1102809,MM: MP552379 Af: 150653572506/,5149462,Venta,TK 925421,,239.0
RIATUL 1 1 mg Cmp.rec.ranx20,,,,,,,99999999,,5149462,Fin,,,
SARVAL 160 mg Cmp.recx30,6.0,2026-03-07,18:06:44,4.0,2.0,6.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5435552,COMPRA,0014-24729154,ASOPROFARMA,64.0
SARVAL 160 mg Cmp.recx30,,,,,,,99999999,,5435552,Fin,,,
SARVAL 160 mg Cmp.recx60,1.0,2026-03-07,19:04:51,1.0,-1.0,0.0,1102753,MM: MP335187 Af: 000158430115,5435553,Venta,TK 925367,,27.0
SARVAL 160 mg Cmp.recx60,,,,,,,99999999,,5435553,Fin,,,
