DESCRIP,STOCK,FECHA,HORA,ANTES,CANTID,DESPUES,NUT,OBS,CODIGO,TIPO,NUMERO,NOM_PROV,VENDEDOR
-ALCANFOR X 1,44.0,2026-03-07,17:53:51,45.0,-1.0,44.0,1102717,MM:  Af:,-300648,Venta,TK 925333,,111.0
-ALCANFOR X 1,44.0,2026-03-07,09:26:50,60.0,-15.0,45.0,1102351,Fp: 07/03/26 Ff: 07/03/26,-300648,SALE A ROSEN (NP),0000-00021535,FARMACIA BUACAR,118.0
-ALCANFOR X 1,,,,,,,99999999,,-300648,Fin,,,
-ALCOHOL   PURO X  500 ML,12.0,2026-03-07,10:50:26,14.0,-1.0,13.0,1102449,MM:  Af:,-800077,Venta,TK 925089,,50.0
-ALCOHOL   PURO X  500 ML,12.0,2026-03-07,17:53:51,13.0,-1.0,12.0,1102717,MM:  Af:,-800077,Venta,TK 925333,,111.0
-ALCOHOL   PURO X  500 ML,,,,,,,99999999,,-800077,Fin,,,
-ALCOHOL   PURO X 1 LITRO,12.0,2026-03-07,10:16:44,13.0,-1.0,12.0,1102394,MM:  Af:,-888464,Venta,TK 925044,,123.0
-ALCOHOL   PURO X 1 LITRO,,,,,,,99999999,,-888464,Fin,,,
-BICARBONATO X 250 GR CAJA,27.0,2026-03-07,09:49:46,28.0,-1.0,27.0,1102375,MM:  Af:,-898424,Venta,TK 925027,,121.0
-BICARBONATO X 250 GR CAJA,,,,,,,99999999,,-898424,Fin,,,
-BROCAL PLASTICO 2500ML C/TAPA,4.0,2026-03-07,15:29:12,5.0,-1.0,4.0,1102646,MM:  Af:,-306914,Venta,TK 925272,,22.0
-BROCAL PLASTICO 2500ML C/TAPA,,,,,,,99999999,,-306914,Fin,,,
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,08:10:36,0.0,-1.0,0.0,1102309,MM:  Af:,-899544,Venta NOSTK!,TK 924964,,41.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,08:14:22,0.0,-1.0,0.0,1102310,MM:  Af:,-899544,Venta NOSTK!,TK 924965,,50.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,08:20:48,0.0,-1.0,0.0,1102312,MM:  Af:,-899544,Venta NOSTK!,TK 924967,,41.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,09:07:20,0.0,-1.0,0.0,1102339,MM:  Af:,-899544,Venta NOSTK!,TK 924992,,50.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,09:34:14,0.0,-1.0,0.0,1102358,MM:  Af:,-899544,Venta NOSTK!,TK 925010,,121.0
-CONTROL ENTREGA DISPENSA TT,0.0,2026-03-07,10:00:34,0.0,-1.0,0.0,1102384,MM:  Af:,-899544,Venta NOSTK!,TK 925035,,41.0
