codigo,descrip_old,descrip_new,ROP_ajustado_old,ROP_ajustado_new,changed_ROP_ajustado,ROP_intermedio_old,ROP_intermedio_new,changed_ROP_intermedio,ROP_holgado_old,ROP_holgado_new,changed_ROP_holgado,changed_any_rop
5684264,ZOXX 100 mg Cmp.recx30,ZOXX 100 mg Cmp.recx30,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
5693712,CLOPILEP 75 mg Cmp.recx30,CLOPILEP 75 mg Cmp.recx30,1.0,2.0,True,2.0,3.0,True,3.0,4.0,True,True
5711391,BAGO B1B6B12 solx100 ml,BAGO B1B6B12 solx100 ml,0.0,0.0,False,0.0,0.0,False,0.0,1.0,True,True
5716001,ALDACTONE D 25/20 compx30,ALDACTONE D 25/20 compx30,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5724392,PH LAGR GEL gel oftx10 ml,PH LAGR GEL gel oftx10 ml,1.0,1.0,False,2.0,2.0,False,3.0,2.0,True,True
5732841,ELIFER 100 mg compx30,ELIFER 100 mg compx30,1.0,2.0,True,2.0,3.0,True,3.0,4.0,True,True
5732971,ELIFER 300 mg compx30,ELIFER 300 mg compx30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5735003,CLINADOL FORTE AP 200mgCmp.rec,CLINADOL FORTE AP 200mgCmp.rec,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5746847,PLIDEX AP 300 mg Cmp.lib.prolx,PLIDEX AP 300 mg Cmp.lib.prolx,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5755711,ALENYS inhal.nasal dsx120,ALENYS inhal.nasal dsx120,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
5759262,FUROTRAL 40 mg compx30,FUROTRAL 40 mg compx30,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5761552,GALVUS MET 50/850 mg compx60,GALVUS MET 50/850 mg compx60,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5763842,DUTAPIL 0.5 mg compx60,DUTAPIL 0.5 mg compx60,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5767391,INSU OPTISULIN SOLOSTAR lap.pr,INSU OPTISULIN SOLOSTAR lap.pr,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
578068,LATLAS TEARS gotero x15 ml,LATLAS TEARS gotero x15 ml,0.0,0.0,False,0.0,1.0,True,1.0,1.0,False,True
5781712,ROSUSTATIN 20 mg compx30,ROSUSTATIN 20 mg compx30,0.0,0.0,False,0.0,1.0,True,1.0,1.0,False,True
5785552,ALPERTAN D 160/12.5 mg Cmp.rec,ALPERTAN D 160/12.5 mg Cmp.rec,2.0,3.0,True,3.0,4.0,True,4.0,5.0,True,True
5787971,IFENIL MD Cmp.rec. x28 (21+7),IFENIL MD Cmp.rec. x28 (21+7),0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5790682,ISLOTIN XR 500 mg Cmp.rec.AP x,ISLOTIN XR 500 mg Cmp.rec.AP x,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5795711,AMPLIAR PLUS 20/10 mg compx30,AMPLIAR PLUS 20/10 mg compx30,0.0,0.0,False,1.0,1.0,False,2.0,4.0,True,True
5805002,AXUAL 75 mg capsx30,AXUAL 75 mg capsx30,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5811683,NOXOPRAN 0.25 mg compx60,NOXOPRAN 0.25 mg compx60,3.0,2.0,True,4.0,3.0,True,5.0,4.0,True,True
5815133,DISARVAL 320/5 mg Cmp.recx30,DISARVAL 320/5 mg Cmp.recx30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5830974,MIOPROPAN S compx30,MIOPROPAN S compx30,2.0,1.0,True,3.0,2.0,True,4.0,3.0,True,True
5842393,TALPRAM 10 Cmp.recx30,TALPRAM 10 Cmp.recx30,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5847262,ALDACTONE EP 25 MG compx30,ALDACTONE EP 25 MG compx30,0.0,0.0,False,0.0,1.0,True,1.0,1.0,False,True
5850396,AEROTROP spray nasal x120 dosi,AEROTROP spray nasal x120 dosi,0.0,0.0,False,0.0,1.0,True,0.0,1.0,True,True
5853712,AUDECOL 300 mg compx50,AUDECOL 300 mg compx50,2.0,1.0,True,3.0,2.0,True,3.0,3.0,False,True
5867971,VALTREX 1 g compx21,VALTREX 1 g compx21,0.0,0.0,False,1.0,0.0,True,1.0,0.0,True,True
5891396,LEVECOM 0 1000mg Cmp.rec.ranx6,LEVECOM 0 1000mg Cmp.rec.ranx6,1.0,1.0,False,2.0,2.0,False,3.0,2.0,True,True
5896003,DILATREND 3.125 mg Cmp.ranx30,DILATREND 3.125 mg Cmp.ranx30,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
5909005,NOSTER 10/160 mg compx28,NOSTER 10/160 mg compx28,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5913391,ONGLYZA 5 mg compx28,ONGLYZA 5 mg compx28,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5914392,BIDECAR CR 40 mg cÃÂÃÂ¡ps.lib.cont,BIDECAR CR 40 mg cÃps.lib.cont,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5914392,BIDECAR CR 40 mg cÃÂÃÂps.lib.cont,BIDECAR CR 40 mg cÃps.lib.cont,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
5921422,LIPEX 20 mg compx30,LIPEX 20 mg compx30,0.0,0.0,False,1.0,0.0,True,1.0,0.0,True,True
5927265,ROXOLAN 10 mg compx30,ROXOLAN 10 mg compx30,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5933422,BROMOTIL 40 mg compx60,BROMOTIL 40 mg compx60,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5935423,NEBICOR 5 mg compx30,NEBICOR 5 mg compx30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5939841,ATORMAX 20 20 mg Cmp.recx30,ATORMAX 20 20 mg Cmp.recx30,1.0,0.0,True,2.0,1.0,True,2.0,1.0,True,True
5940713,BIATRIX XR 50 50 mg Cmp.lib.pr,BIATRIX XR 50 50 mg Cmp.lib.pr,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
5948422,LUDASTERIN 0.5 mg compx30,LUDASTERIN 0.5 mg compx30,1.0,2.0,True,2.0,3.0,True,3.0,4.0,True,True
5971266,SUAVICORT spray nasal x150 ds.,SUAVICORT spray nasal x150 ds.,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
5972554,FLUTICORT 250 mcg aer.HFA x120,FLUTICORT 250 mcg aer.HFA x120,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
600882,ANEMIDOX ax6 x2 ml,ANEMIDOX ax6 x2 ml,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
6048133,VALCAS 500 mg compx50,VALCAS 500 mg compx50,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
6051392,ACTRON PED 4% susp.oral x180 m,ACTRON PED 4% susp.oral x180 m,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
6062260,LORATADINA TAURO 10 mg compx10,LORATADINA TAURO 10 mg compx10,2.0,1.0,True,3.0,2.0,True,4.0,3.0,True,True
6065975,DESLAFAX 100 mg Cmp.acc.prolx3,DESLAFAX 100 mg Cmp.acc.prolx3,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
6074425,LIPOGLUTAREN DUO 20/10 mg Cmp.,LIPOGLUTAREN DUO 20/10 mg Cmp.,0.0,0.0,False,0.0,0.0,False,1.0,0.0,True,True
6084133,AFLUSAN 50 mg compx10,AFLUSAN 50 mg compx10,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6096263,PANTUSEC 40mg Cmp.rec.gastrx30,PANTUSEC 40mg Cmp.rec.gastrx30,0.0,0.0,False,1.0,0.0,True,1.0,1.0,False,True
6107555,ARTERIOSAN CTO 5/100 mg compx3,ARTERIOSAN CTO 5/100 mg compx3,0.0,0.0,False,1.0,0.0,True,1.0,0.0,True,True
6117971,FORTCINOLONA 40 40 mg ampx1 ml,FORTCINOLONA 40 40 mg ampx1 ml,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6122396,PLIDEX S 200/120 mg Cmp.recx30,PLIDEX S 200/120 mg Cmp.recx30,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
